category,query_id,query_number,avg_runtime_ms,status,error
aggregation,Q097,608,6.1417,OK,
aggregation,Q098,609,79.5003,OK,
aggregation,Q099,610,40.2923,OK,
aggregation,Q100,611,12.5625,OK,
aggregation,Q101,612,6.7169,OK,
aggregation,Q102,613,242.2932,OK,
aggregation,Q103,614,12.6865,OK,
aggregation,Q104,615,39.6945,OK,
aggregation,Q105,616,10.0141,OK,
aggregation,Q106,617,311.5985,OK,
aggregation,Q107,618,51.311,OK,
aggregation,Q108,619,0.6391,OK,
aggregation,Q109,620,8.5464,OK,
aggregation,Q110,621,147.2991,OK,
aggregation,Q111,622,35.4402,OK,
aggregation,Q112,623,59.4208,OK,
aggregation,Q113,624,72.2778,OK,
aggregation,Q114,625,7.3563,OK,
aggregation,Q115,626,284.1476,OK,
aggregation,Q116,627,27.5242,OK,
aggregation,Q117,628,191.1121,OK,
aggregation,Q118,629,8.0687,OK,
aggregation,Q119,630,132.5067,OK,
aggregation,Q120,631,,ERROR,1054 (42S22): Unknown column 'r_regionkey' in 'field list'
aggregation,Q121,632,71.7039,OK,
